ID	Name	Label
for	No Name	Census API FIPS 'for' clause
in	No Name	Census API FIPS 'in' clause
ucgid	No Name	Uniform Census Geography Identifier clause
S0804_C04_068E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!5:00 a.m. to 5:29 a.m.
S0503_C02_078E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Retail trade
S0701PR_C01_028E	No Name	Total!!Estimate!!MARITAL STATUS!!Population 15 years and over
S0804_C04_067E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!12:00 a.m. to 4:59 a.m.
S0503_C02_077E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Wholesale trade
S0701PR_C01_029E	No Name	Total!!Estimate!!MARITAL STATUS!!Never married
S0503_C02_076E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Manufacturing
S0506_C01_120E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children under 18 years!!With related children under 5 years only
S0804_C04_069E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!5:30 a.m. to 5:59 a.m.
S0503_C02_075E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Construction
S0506_C01_121E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family
S0804_C04_064E	No Name	Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Self-employed workers in own not incorporated business
S0503_C02_074E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining
S0506_C01_122E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 18 years
S0506_C01_123E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no husband present, family!!With related children under 18 years!!With related children under 5 years only
S0503_C02_073E	No Name	Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Production, transportation, and material moving occupations
S0804_C04_063E	No Name	Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Government workers
S0506_C01_124E	No Name	Total!!Estimate!!Occupied housing units
S0804_C04_066E	No Name	Public transportation (excluding taxicab)!!Estimate!!Workers 16 years and over who did not work at home
S0503_C02_072E	No Name	Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations
S0804_C04_065E	No Name	Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Unpaid family workers
S0506_C01_125E	No Name	Total!!Estimate!!HOUSING TENURE!!Owner-occupied housing units
S0503_C02_071E	No Name	Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Sales and office occupations
S0102_C02_046E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over
S0503_C02_070E	No Name	Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Service occupations
S0102_C02_047E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Same house
S0102_C02_044E	No Name	60 years and over!!Estimate!!DISABILITY STATUS!!With any disability
S1811_C02_018E	No Name	With a Disability!!Estimate!!OCCUPATION!!Production, transportation, and material moving occupations
S0102_C02_045E	No Name	60 years and over!!Estimate!!DISABILITY STATUS!!No disability
S1811_C02_019E	No Name	With a Disability!!Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining
S1201_C03_004E	No Name	Widowed!!Estimate!!20 to 34 years
S0102_C02_042E	No Name	60 years and over!!Estimate!!VETERAN STATUS!!Civilian veteran
S0102PR_C02_012E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S1811_C02_016E	No Name	With a Disability!!Estimate!!OCCUPATION!!Sales and office occupations
S1201_C03_003E	No Name	Widowed!!Estimate!!15 to 19 years
S0102_C02_043E	No Name	60 years and over!!Estimate!!DISABILITY STATUS!!Civilian noninstitutionalized population
S0102PR_C02_013E	No Name	60 years and over!!Estimate!!Hispanic or Latino origin (of any race)
S1811_C02_017E	No Name	With a Disability!!Estimate!!OCCUPATION!!Natural resources, construction, and maintenance occupations
S1201_C03_002E	No Name	Widowed!!Estimate!!AGE AND SEX!!Males 15 years and over
S1811_C02_014E	No Name	With a Disability!!Estimate!!OCCUPATION!!Management, business, science, and arts occupations
S0102_C02_040E	No Name	60 years and over!!Estimate!!RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS!!Living with grandchild(ren)!!Responsible for grandchild(ren)
S0102PR_C02_010E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S1811_C02_015E	No Name	With a Disability!!Estimate!!OCCUPATION!!Service occupations
S1201_C03_001E	No Name	Widowed!!Estimate!!Population 15 years and over
S0102_C02_041E	No Name	60 years and over!!Estimate!!VETERAN STATUS!!Civilian population 18 years and over
S0102PR_C02_011E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S1811_C02_024E	No Name	With a Disability!!Estimate!!INDUSTRY!!Transportation and warehousing, and utilities
S1201_C03_008E	No Name	Widowed!!Estimate!!65 years and over
S0102PR_C02_004E	No Name	60 years and over!!Estimate!!Median age (years)
S2501_C03_036E	No Name	Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children under 18 years!!With own children under 18 years!!6 to 17 years only
S1811_C02_025E	No Name	With a Disability!!Estimate!!INDUSTRY!!Information
S1201_C03_007E	No Name	Widowed!!Estimate!!55 to 64 years
S0102PR_C02_005E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race
S2702PR_C02_105E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!At or above 300 percent of the poverty level
S2501_C03_037E	No Name	Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!With related children under 18 years!!No own children under 18 years
S1201_C03_006E	No Name	Widowed!!Estimate!!45 to 54 years
S1811_C02_022E	No Name	With a Disability!!Estimate!!INDUSTRY!!Wholesale trade
S0102PR_C02_002E	No Name	60 years and over!!Estimate!!SEX AND AGE!!Male
S2501_C03_038E	No Name	Renter-occupied housing units!!Estimate!!FAMILY TYPE AND PRESENCE OF OWN CHILDREN!!No related children under 18 years
S1811_C02_023E	No Name	With a Disability!!Estimate!!INDUSTRY!!Retail trade
S1201_C03_005E	No Name	Widowed!!Estimate!!35 to 44 years
S0102PR_C02_003E	No Name	60 years and over!!Estimate!!SEX AND AGE!!Female
S2501_C03_039E	No Name	Renter-occupied housing units!!Estimate!!PERCENT IMPUTED!!Tenure
S1811_C02_020E	No Name	With a Disability!!Estimate!!INDUSTRY!!Construction
S0102PR_C02_008E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S1811_C02_021E	No Name	With a Disability!!Estimate!!INDUSTRY!!Manufacturing
S0102PR_C02_009E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S2601B_C04_059E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Different address in the U.S.!!Different county!!Different state
S0102_C02_048E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the United States
S0701PR_C01_030E	No Name	Total!!Estimate!!MARITAL STATUS!!Now married, except separated
S0102PR_C02_006E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White
S0102_C02_049E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the United States!!Same county
S0701PR_C01_031E	No Name	Total!!Estimate!!MARITAL STATUS!!Divorced or separated
S0102PR_C02_007E	No Name	60 years and over!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S1201_C03_009E	No Name	Widowed!!Estimate!!65 years and over!!Females 15 years and over
S0701PR_C01_032E	No Name	Total!!Estimate!!MARITAL STATUS!!Widowed
S0506_C01_114E	No Name	Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above 200 percent of the poverty level
S2601B_C04_055E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Different address in the U.S.
S0804_C04_060E	No Name	Public transportation (excluding taxicab)!!Estimate!!INDUSTRY!!Public administration
S0701PR_C01_033E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over
S0506_C01_115E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families
S2601B_C04_054E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Same address
S2702PR_C02_100E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Below 50 percent of the poverty level
S0701PR_C01_034E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate
S0506_C01_116E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children under 18 years
S2601B_C04_057E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Different address in the U.S.!!Different county
S2601B_C04_058E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Different address in the U.S.!!Different county!!Same state
S0804_C04_062E	No Name	Public transportation (excluding taxicab)!!Estimate!!CLASS OF WORKER!!Private wage and salary workers
S0701PR_C01_035E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)
S0506_C01_117E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!All families!!With related children under 18 years!!With related children under 5 years only
S2601B_C04_056E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Different address in the U.S.!!Same county
S0804_C04_061E	No Name	Public transportation (excluding taxicab)!!Estimate!!INDUSTRY!!Armed forces
S0506_C01_118E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family
S2601B_C04_051E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!DISABILITY STATUS!!No disability!!Population 65 years and over
S0701PR_C01_036E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree
S2702PR_C02_102E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!100 to 149 percent of the poverty level
S2702PR_C02_101E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!50 to 99 percent of the poverty level
S0506_C01_119E	No Name	Total!!Estimate!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children under 18 years
S2601B_C04_050E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!DISABILITY STATUS!!No disability
S0503_C02_069E	No Name	Foreign born; Born in Europe!!Estimate!!OCCUPATION!!Management, business, science, and arts occupations
S0701PR_C01_037E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree
S2601B_C04_053E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over
S0503_C02_068E	No Name	Foreign born; Born in Europe!!Estimate!!CLASS OF WORKER!!Unpaid family workers
S2702PR_C02_104E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!200 to 299 percent of the poverty level
S0701PR_C01_038E	No Name	Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Graduate or professional degree
