NAME,total_insured,femal_no_public_coverage_18_24,femal_no_public_coverage_25_34,femal_no_public_coverage_35_44,total_occupants_per_room,owner_occupied_1.01_1.50_occupants,owner_occupied_1.51_2_occupants,owner_occupied_2plus_occupants,renter_occupied_1.01_1.50_occupants,renter_occupied_1.01_1.50_occupants,renter_occupied_1.01_1.50_occupants,white_female_civilian_employed,white_female_management_employed,white_female_service_employed,white_female_sales_employed,white_female_natural_resources_employed,white_female_production_employed,us,Year
United States,303984241,12464760,17222626,18070393,115226802,978058,202078,76253,1601708,613388,247482,51159435,21044525,9883054,17169684,436607,2625565,1,2012
United States,306448495,12498717,17289786,17790856,115610216,992658,206437,78482,1656842,625505,237421,51056820,21193230,9964874,16895293,430653,2572770,1,2013
United States,309082258,12492815,17360113,17555299,116211092,996979,207650,79895,1703953,635740,228493,51323133,21503515,10056231,16743369,439222,2580796,1,2014
United States,311516332,12406465,17350143,17339162,116926305,989654,210319,80561,1724615,657286,227416,51760315,21893125,10146513,16663384,448589,2608704,1,2015
United States,313576137,12250466,17328143,17111586,117716237,983948,212211,82404,1749030,679578,225435,52220267,22339401,10203794,16594539,454550,2627983,1,2016
United States,316027641,12297404,15529803,16989238,118825921,998872,219865,84686,1745250,698587,228022,52722370,22890418,10222133,16489659,469016,2651144,1,2017
United States,317941631,12103613,15539856,16858372,119730128,1001168,225489,85678,1745464,722199,230318,53150457,23455062,10230267,15901343,484304,3079481,1,2018
United States,319706872,11952790,15634855,16869225,120756048,1012385,233095,86963,1732333,746211,234992,53594549,24024687,10259045,15702122,493135,3115560,1,2019
United States,321525041,11882242,15810486,17000630,122354219,1039899,247342,94652,1682727,759176,236853,52606981,24193500,9777446,15168057,471594,2996384,1,2020
United States,324818565,11758949,15804064,17253289,124010992,1078006,261209,100515,1679821,772097,243280,51365493,24249019,9284265,14481636,452413,2898160,1,2021
United States,326147510,11918757,15692741,17227337,125736353,1111062,274553,105884,1672647,806358,254983,49852008,24140334,8766245,13751032,424944,2769453,1,2022
